"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.0041282,4.7306,-0.77721,8.0,1.0,5.0,4.794,186124136.0
0.0012005,1.3757,-0.77297,19.0,2.0,5.0,1.578,186124136.0
0.0049621,5.6861,-0.79913,10.0,3.0,5.0,5.742,186124136.0
0.0012775,1.4639,-0.77838,18.0,4.0,5.0,1.658,186124136.0
0.0065544,7.5108,-0.87833,19.0,5.0,5.0,7.562,186124136.0
0.001346,1.5424,-0.77472,16.0,6.0,5.0,1.726,186124136.0
0.0083796,9.6023,-0.89585,32.0,7.0,5.0,9.644,186124136.0
0.0014135,1.6197,-0.76667,15.0,8.0,5.0,1.792,186124136.0
0.0014908,1.7083,-0.7606,15.0,10.0,5.0,1.87,186124136.0
0.017281,19.802,-0.92347,19.0,11.0,5.0,19.824,186124136.0
0.0016024,1.8363,-0.76699,17.0,12.0,5.0,1.99,186124136.0
0.017892,20.502,-0.47601,9.0,13.0,5.0,20.508,186124136.0
0.0017201,1.9711,-0.76967,15.0,14.0,5.0,2.116,186124136.0
0.048632,55.728,0.0,19.0,15.0,5.0,55.728,186124136.0
0.0018352,2.103,-0.76544,14.0,16.0,5.0,2.238,186124136.0
0.048732,55.843,1.2965,19.0,17.0,5.0,55.858,186124136.0
0.0019776,2.2661,-0.76572,12.0,18.0,5.0,2.392,186124136.0
0.0021476,2.461,-0.76792,19.0,20.0,5.0,2.578,186124136.0
0.015731,18.026,1.2605,8.0,21.0,5.0,18.07,186124136.0
0.0023522,2.6954,-0.77289,16.0,22.0,5.0,2.804,186124136.0
0.014606,16.737,1.5615,7.0,23.0,5.0,16.81,186124136.0
0.0025867,2.9641,-0.77596,14.0,24.0,5.0,3.064,186124136.0
0.0029143,3.3395,-0.79128,11.0,26.0,5.0,3.432,186124136.0
0.015042,17.237,2.4224,15.0,27.0,5.0,17.406,186124136.0
0.0032573,3.7326,-0.79339,9.0,28.0,5.0,3.816,186124136.0
0.0036636,4.1981,-0.79097,7.0,30.0,5.0,4.272,186124136.0
0.014692,16.836,3.172,3.0,31.0,5.0,17.132,186124136.0
0.018974,4.7266,-0.77656,9.0,1.0,23.0,4.79,186124136.0
0.0055225,1.3757,-0.77297,19.0,2.0,23.0,1.578,186124136.0
0.022849,5.692,-0.79997,10.0,3.0,23.0,5.748,186124136.0
