x,y,z,intensity
0.00089711,1.285,-0.76208,37
0.00096409,1.381,-0.7759,20
0.0010195,1.4604,-0.77651,24
0.001098,1.5727,-0.78998,23
0.0011863,1.6993,-0.80432,30
0.0012781,1.8307,-0.8151,21
0.0014237,2.0393,-0.85178,24
0.0015725,2.2524,-0.87952,20
0.0017555,2.5146,-0.91525,22
0.0018995,2.7209,-0.91938,27
0.0020433,2.9268,-0.91328,29
0.0022253,3.1875,-0.91401,41
0.0024286,3.4788,-0.91069,25
0.0026901,3.8533,-0.91301,24
0.0044375,1.2712,-0.75392,42
0.0047656,1.3653,-0.76709,22
0.0051224,1.4674,-0.78026,24
0.0055086,1.5781,-0.79267,22
0.0058873,1.6866,-0.79833,28
0.0063905,1.8307,-0.8151,25
0.0070732,2.0263,-0.84639,29
0.0077712,2.2263,-0.86934,19
0.0087252,2.4996,-0.90977,24
0.0094778,2.7152,-0.91746,27
0.010143,2.9058,-0.90673,29
0.011415,3.2702,-0.93772,30
0.012285,3.5194,-0.92133,28
0.013457,3.8552,-0.91348,27
0.0080091,1.2747,-0.75596,42
0.0085562,1.3617,-0.76513,22
0.0092646,1.4745,-0.78402,23
0.0098706,1.5709,-0.78908,21
0.01054,1.6775,-0.79405,28
0.011537,1.8362,-0.81754,25
0.012801,2.0374,-0.85101,29
0.014035,2.2337,-0.87225,21
0.015528,2.4713,-0.89951,19
0.017203,2.7379,-0.92514,27
0.018426,2.9325,-0.91507,29
0.020402,3.2471,-0.9311,23
0.022052,3.5097,-0.9188,28
0.02426,3.861,-0.91486,27
0.012224,1.297,-0.76922,36
0.012999,1.3791,-0.77493,24
0.014113,1.4974,-0.79622,20
0.014839,1.5745,-0.79088,22
0.015776,1.6739,-0.79234,28
0.017202,1.8252,-0.81266,26
0.019376,2.0558,-0.85872,27
0.020982,2.2262,-0.86934,20
0.023611,2.5051,-0.91183,17
0.025965,2.7549,-0.9309,22
0.027584,2.9267,-0.91328,42
0.030639,3.2508,-0.93221,24
0.032859,3.4864,-0.91272,25
0.036279,3.8492,-0.91209,29
0.015312,1.2901,-0.76514,42
0.016348,1.3774,-0.77395,24
0.017814,1.5009,-0.7981,20
0.018771,1.5816,-0.79447,23
0.020017,1.6865,-0.79833,28
0.021597,1.8197,-0.81022,23
0.024355,2.052,-0.85718,29
0.026819,2.2597,-0.88243,16
0.029866,2.5163,-0.91593,18
0.032584,2.7453,-0.9277,22
0.034962,2.9457,-0.91924,29
0.038856,3.2738,-0.93882,28
0.04163,3.5075,-0.91829,21
0.045777,3.8569,-0.91394,27
0.019313,1.2866,-0.7631,40
0.02023,1.3477,-0.75729,21
0.022317,1.4867,-0.79059,22
0.02382,1.5869,-0.79716,23
0.02564,1.7081,-0.8086,33
0.027259,1.8159,-0.80859,25
0.030331,2.0206,-0.84408,29
0.034254,2.2819,-0.89116,18
0.03763,2.5068,-0.91251,19
0.040952,2.7281,-0.92194,24
0.043901,2.9246,-0.91269,29
0.048997,3.2641,-0.93606,28
0.052824,3.519,-0.92133,28
0.058011,3.8646,-0.91578,29
0.023417,1.29,-0.76514,45
0.024622,1.3563,-0.76219,20
0.026859,1.4796,-0.78683,22
0.029033,1.5993,-0.80344,24
0.031039,1.7098,-0.80946,31
0.033129,1.825,-0.81266,25
0.03641,2.0057,-0.83791,29
0.041659,2.2948,-0.89625,21
0.044789,2.4672,-0.89814,27
0.049247,2.7128,-0.91682,27
0.053054,2.9225,-0.91209,35
0.058483,3.2216,-0.92394,30
0.064335,3.544,-0.92791,25
0.07001,3.8566,-0.91394,27
0.026605,1.2916,-0.76616,36
0.028403,1.3789,-0.77493,20
0.030438,1.4777,-0.7859,24
0.03283,1.5939,-0.80075,24
0.035068,1.7025,-0.80603,31
0.037588,1.8249,-0.81266,25
0.041501,2.0148,-0.84176,24
0.046691,2.2668,-0.88534,22
0.05132,2.4915,-0.90704,21
0.056383,2.7373,-0.92514,27
0.060824,2.9529,-0.92162,33
0.067107,3.258,-0.93441,33
0.073712,3.5786,-0.93703,23
0.079072,3.8389,-0.90979,27
0.030153,1.2795,-0.75902,42
0.03274,1.3893,-0.7808,20
0.034656,1.4706,-0.78214,23
0.037264,1.5812,-0.79447,23
0.039736,1.6861,-0.79833,31
0.0424,1.7992,-0.80127,26
0.047479,2.0147,-0.84176,27
0.053592,2.2741,-0.88825,20
0.0592,2.512,-0.91456,27
0.064951,2.7561,-0.93154,28
0.07008,2.9737,-0.92818,35
0.077498,3.2885,-0.94323,28
0.081959,3.4778,-0.91069,23
0.090646,3.8464,-0.91163,24
0.034265,1.2828,-0.76106,40
0.037012,1.3857,-0.77884,20
0.03871,1.4493,-0.77087,24
0.042279,1.5829,-0.79536,23
0.044309,1.6589,-0.7855,30
0.048296,1.8082,-0.80534,23
0.05371,2.0109,-0.84022,27
0.060686,2.2721,-0.88752,21
0.067342,2.5212,-0.91798,22
0.07366,2.7578,-0.93218,24
0.078708,2.9468,-0.91984,39
0.085725,3.2095,-0.92063,30
0.094124,3.524,-0.92285,28
0.10273,3.8461,-0.91163,27
0.038026,1.2965,-0.76922,36
0.040588,1.3838,-0.77786,21
0.042297,1.4421,-0.76712,21
0.046476,1.5846,-0.79626,23
0.049606,1.6913,-0.8009,31
0.054048,1.8427,-0.82079,19
0.058974,2.0107,-0.84022,21
0.065706,2.2402,-0.87516,23
0.073501,2.506,-0.91251,18
0.080491,2.7443,-0.9277,24
0.08659,2.9523,-0.92162,35
0.094747,3.2304,-0.92669,30
0.1021,3.4811,-0.91171,25
0.11274,3.8439,-0.91117,27
0.041817,1.2947,-0.7682,40
0.044919,1.3907,-0.78178,22
0.046804,1.449,-0.77087,19
0.051581,1.5969,-0.80255,24
0.055032,1.7038,-0.80689,33
0.059515,1.8426,-0.82079,19
0.064761,2.005,-0.83791,18
0.073796,2.2847,-0.89262,20
0.080148,2.4814,-0.90362,24
0.08796,2.7232,-0.92066,24
0.093932,2.9081,-0.90792,25
0.10433,3.2301,-0.92669,33
0.11337,3.5098,-0.9193,28
0.12415,3.8435,-0.91117,24
0.045702,1.2894,-0.76514,45
0.049102,1.3853,-0.77884,21
0.051481,1.4524,-0.77275,22
0.056597,1.5968,-0.80255,24
0.059616,1.6819,-0.79662,30
0.065368,1.8442,-0.82161,18
0.070667,1.9937,-0.83328,24
0.080709,2.277,-0.88971,19
0.088476,2.4961,-0.90909,19
0.096314,2.7173,-0.91874,21
0.10361,2.9231,-0.91269,29
0.11346,3.2009,-0.91842,36
0.12583,3.5501,-0.92994,21
0.13677,3.8587,-0.91486,27
0.049105,1.2841,-0.76208,42
0.053304,1.3939,-0.78374,19
0.056886,1.4876,-0.79153,20
0.060715,1.5877,-0.79806,23
0.06376,1.6673,-0.78978,30
0.070029,1.8312,-0.81591,23
0.075035,1.9622,-0.82018,20
0.086996,2.2749,-0.88898,24
0.095733,2.5034,-0.91183,19
0.10455,2.734,-0.9245,24
0.11068,2.8942,-0.90375,35
0.12379,3.2371,-0.9289,30
0.13471,3.5226,-0.92285,25
0.14769,3.8622,-0.91578,29
0.052479,1.2788,-0.75902,42
0.056839,1.385,-0.77884,18
0.062416,1.5209,-0.80937,21
0.064928,1.5821,-0.79536,22
0.06886,1.678,-0.79491,23
0.075067,1.8292,-0.8151,23
0.083163,2.0265,-0.84716,19
0.091744,2.2356,-0.8737,24
0.10095,2.4599,-0.89609,24
0.11203,2.7299,-0.92322,28
0.11891,2.8977,-0.90494,29
0.13157,3.206,-0.92008,36
0.14352,3.4971,-0.91626,28
0.158,3.8501,-0.91301,27
0.056122,1.2752,-0.75698,40
0.060411,1.3726,-0.77199,19
0.066618,1.5137,-0.80561,20
0.070408,1.5998,-0.80434,24
0.075031,1.7048,-0.80775,26
0.080575,1.8308,-0.81591,25
0.090798,2.0631,-0.86258,16
0.098787,2.2446,-0.87734,27
0.11131,2.5291,-0.9214,21
0.12046,2.7372,-0.92578,28
0.12986,2.9507,-0.92162,33
0.14116,3.2075,-0.92063,33
0.15661,3.5585,-0.93247,28
0.16968,3.8554,-0.9144,27
0.05938,1.2733,-0.75596,35
0.062949,1.3498,-0.75925,19
0.070334,1.5082,-0.8028,22
0.074596,1.5996,-0.80434,23
0.079241,1.6992,-0.80518,22
0.086134,1.847,-0.82323,25
0.095941,2.0573,-0.86026,20
0.1064,2.2816,-0.89189,21
0.11801,2.5307,-0.92209,24
0.12675,2.7179,-0.91938,30
0.13643,2.9255,-0.91388,33
0.14804,3.1745,-0.91126,28
0.1644,3.5252,-0.92386,25
0.18086,3.8783,-0.91993,27
0.063498,1.28,-0.76004,42
0.066262,1.3357,-0.75141,20
0.074546,1.5027,-0.79998,26
0.080139,1.6154,-0.81242,20
0.084014,1.6936,-0.80261,19
0.092156,1.8577,-0.82812,25
0.10214,2.0589,-0.86103,18
0.11344,2.2868,-0.89407,23
0.12375,2.4946,-0.90909,21
0.13397,2.7005,-0.91361,30
0.14643,2.9518,-0.92222,33
0.15679,3.1606,-0.9074,28
0.1761,3.5499,-0.93045,25
0.19237,3.8777,-0.91993,24
0.068063,1.2901,-0.76616,36
0.071009,1.346,-0.75729,19
0.07908,1.4989,-0.7981,26
0.085025,1.6116,-0.81063,21
0.08981,1.7023,-0.80689,26
0.097703,1.8519,-0.82568,30
0.10919,2.0696,-0.86566,20
0.12024,2.279,-0.89116,21
0.13139,2.4905,-0.90772,18
0.14335,2.7171,-0.91938,27
0.15681,2.9723,-0.92877,33
0.16925,3.2081,-0.92118,33
0.18685,3.5416,-0.92842,23
0.20434,3.8732,-0.91901,27
0.071821,1.2968,-0.77024,38
0.075208,1.3579,-0.76415,20
0.081832,1.4776,-0.78683,23
0.088552,1.5989,-0.80434,21
0.092467,1.6696,-0.79149,24
0.10134,1.8298,-0.81591,28
0.11369,2.0527,-0.85872,20
0.12795,2.3103,-0.90353,19
0.13843,2.4995,-0.91114,21
0.14941,2.6978,-0.91297,30
0.16016,2.8918,-0.90375,45
0.1785,3.223,-0.92559,33
0.19387,3.5005,-0.91778,29
0.21577,3.896,-0.92454,24
0.075267,1.2897,-0.76616,38
0.08076,1.3838,-0.77884,19
0.086216,1.4773,-0.78683,22
0.092983,1.5933,-0.80165,23
0.098052,1.6801,-0.79662,23
0.10762,1.8441,-0.82242,25
0.11956,2.0487,-0.85718,21
0.13459,2.3062,-0.90207,22
0.1453,2.4897,-0.90772,24
0.15709,2.6917,-0.91105,27
0.17007,2.9142,-0.9109,35
0.19478,3.3376,-0.95867,26
0.20696,3.5463,-0.92994,23
0.22813,3.9089,-0.92777,24
0.079636,1.2946,-0.76922,36
0.086178,1.401,-0.78864,20
0.091615,1.4894,-0.79341,24
0.098208,1.5965,-0.80344,23
0.10389,1.6888,-0.8009,23
0.11308,1.8382,-0.81998,26
0.12384,2.0133,-0.84253,16
0.14241,2.3151,-0.90571,23
0.15312,2.4892,-0.90772,27
0.16775,2.7271,-0.92322,21
0.18474,3.0032,-0.9389,27
0.2042,3.3197,-0.95371,30
0.21846,3.5514,-0.93146,29
0.24041,3.9082,-0.92777,24
0.084456,1.3167,-0.78248,29
0.090292,1.4077,-0.79256,20
0.095627,1.4909,-0.79435,29
0.10319,1.6088,-0.80973,26
0.10923,1.703,-0.80775,21
0.11882,1.8525,-0.82649,25
0.12722,1.9835,-0.8302,16
0.14859,2.3165,-0.90644,26
0.15976,2.4907,-0.90841,21
0.17477,2.7247,-0.92258,24
0.19333,3.0142,-0.94248,29
0.20785,3.2405,-0.9311,28
0.22998,3.5856,-0.94058,21
0.25076,3.9095,-0.92823,29
0.088247,1.3147,-0.78146,31
0.094351,1.4057,-0.79158,22
0.099341,1.48,-0.78871,26
0.10724,1.5977,-0.80434,23
0.11368,1.6936,-0.80347,23
0.12371,1.843,-0.82242,18
0.13323,1.985,-0.83097,19
0.15371,2.2901,-0.89625,24
0.16778,2.4996,-0.91183,21
0.18361,2.7356,-0.92642,28
0.20061,2.9888,-0.93473,27
0.21849,3.2552,-0.93551,28
0.24101,3.5907,-0.9421,23
0.26158,3.8971,-0.92546,29
0.091426,1.3042,-0.77534,36
0.098887,1.4106,-0.79452,22
0.10336,1.4744,-0.7859,24
